subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	mapping_date	review_status	mapping_category	source_version	target_version	comment
be:DataProductMetadata	Data Product Metadata	rdfs:subClassOf	dcat:Dataset	Dataset	semapv:ManualMappingCuration	0.95	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The v0.3 local metadata class migrates to the directly used dcat:Dataset class in the incompatible v0.4 wire profile.
dct:identifier	dataset identifier	skos:exactMatch	ex:datasetId	dataset identifier	semapv:ManualMappingCuration	0.98	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The identifier concept is retained while the wire predicate changes from dct:identifier to ex:datasetId.
be:providerName	provider name	skos:exactMatch	ex:providerName	provider name	semapv:ManualMappingCuration	0.98	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The local name and literal semantics are retained under the v0.4 contract namespace.
be:endpointUrl	endpoint URL	skos:exactMatch	dcat:endpointURL	Endpoint URL	semapv:ManualMappingCuration	0.97	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The v0.3 local endpoint path migrates to the DCAT endpointURL predicate and gains a mandatory HTTPS IRI constraint.
be:format	format	skos:closeMatch	dct:format	Format	semapv:ManualMappingCuration	0.92	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The field migrates to dct:format and its wire value changes from JSON to application/json.
be:frequency	frequency	skos:exactMatch	dct:accrualPeriodicity	Accrual Periodicity	semapv:ManualMappingCuration	0.97	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The v0.3 local update-frequency path migrates to the directly reused DCTERMS predicate.
be:unit	unit	skos:exactMatch	ex:unit	unit	semapv:ManualMappingCuration	0.98	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The metadata unit field keeps its literal kWh semantics under the v0.4 contract namespace.
be:spatialCoverage	spatial coverage	skos:exactMatch	dct:spatial	Spatial Coverage	semapv:ManualMappingCuration	0.97	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The v0.3 local spatial coverage path migrates to the directly reused DCTERMS predicate.
be:temporalStart	temporal start	skos:exactMatch	ex:temporalStart	temporal start	semapv:ManualMappingCuration	0.98	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The start-date field keeps its flat xsd:date semantics under the v0.4 contract namespace.
be:temporalEnd	temporal end	skos:exactMatch	ex:temporalEnd	temporal end	semapv:ManualMappingCuration	0.98	C_Group	2026-08-10	PENDING_DOMAIN_REVIEW	migration	v0.3	v0.4	The end-date field keeps its flat xsd:date semantics under the v0.4 contract namespace.
